cell_id,label
CELL_0648,0
CELL_0440,1
CELL_0532,1
CELL_0927,0
CELL_0759,0
CELL_0689,0
CELL_0973,0
CELL_0944,0
CELL_0835,0
CELL_0217,1
CELL_1144,0
CELL_1094,0
CELL_0811,0
CELL_1079,0
CELL_0387,1
CELL_0460,1
CELL_0693,0
CELL_0396,1
CELL_1111,0
CELL_0189,1
CELL_0002,1
CELL_0461,1
CELL_0611,0
CELL_0142,1
CELL_0262,1
CELL_0466,1
CELL_0794,0
CELL_0018,1
CELL_0883,0
CELL_0029,1
CELL_0971,0
CELL_0521,1
CELL_1007,0
CELL_0276,1
CELL_0934,0
CELL_0754,0
CELL_0715,0
CELL_0112,1
CELL_0613,0
CELL_0270,1
CELL_0432,1
CELL_0638,0
CELL_0220,1
CELL_1133,0
CELL_0375,1
CELL_0490,1
CELL_0884,0
CELL_0802,0
CELL_0925,0
CELL_0709,0
CELL_0473,1
CELL_0482,1
CELL_1101,0
CELL_0161,1
CELL_0647,0
CELL_0392,1
CELL_1145,0
CELL_0318,1
CELL_0072,1
CELL_0439,1
CELL_1002,0
CELL_1114,0
CELL_0150,1
CELL_0629,0
CELL_1181,0
CELL_1169,0
CELL_0034,1
CELL_0622,0
CELL_0183,1
CELL_0525,1
CELL_0053,1
CELL_0512,1
CELL_0858,0
CELL_1093,0
CELL_0544,1
CELL_0669,0
CELL_0510,1
CELL_0253,1
CELL_0744,0
CELL_0010,1
CELL_0773,0
CELL_0695,0
CELL_0999,0
CELL_0185,1
CELL_1059,0
CELL_1158,0
CELL_0699,0
CELL_1024,0
CELL_0589,1
CELL_0674,0
CELL_0708,0
CELL_0291,1
CELL_0074,1
CELL_0945,0
CELL_0557,1
CELL_0575,1
CELL_1041,0
CELL_1069,0
CELL_0732,0
CELL_1076,0
CELL_0714,0
CELL_0566,1
CELL_1156,0
CELL_0991,0
CELL_0011,1
CELL_0730,0
CELL_0935,0
CELL_0957,0
CELL_0051,1
CELL_0399,1
CELL_1159,0
CELL_0239,1
CELL_0205,1
CELL_0313,1
CELL_0176,1
CELL_0833,0
CELL_0554,1
CELL_0828,0
CELL_0077,1
CELL_0230,1
CELL_0257,1
CELL_1192,0
CELL_0769,0
CELL_0675,0
CELL_0447,1
CELL_0336,1
CELL_0308,1
CELL_0555,1
CELL_0676,0
CELL_0492,1
CELL_0179,1
CELL_0610,0
CELL_0996,0
CELL_0696,0
CELL_1160,0
CELL_0661,0
CELL_0165,1
CELL_1022,0
CELL_1121,0
CELL_1141,0
CELL_1037,0
CELL_0509,1
CELL_0892,0
CELL_0618,0
CELL_0058,1
CELL_1182,0
CELL_0335,1
CELL_0001,1
CELL_0344,1
CELL_0352,1
CELL_1184,0
CELL_0044,1
CELL_0735,0
CELL_0422,1
CELL_0105,1
CELL_0565,1
CELL_0540,1
CELL_0916,0
CELL_0138,1
CELL_0749,0
CELL_1048,0
CELL_0932,0
CELL_0407,1
CELL_0147,1
CELL_0486,1
CELL_1089,0
CELL_0079,1
CELL_0577,1
CELL_0008,1
CELL_0516,1
CELL_0481,1
CELL_0025,1
CELL_0370,1
CELL_1127,0
CELL_0601,0
CELL_0911,0
CELL_0983,0
CELL_0325,1
CELL_0619,0
CELL_0121,1
CELL_0962,0
CELL_0503,1
CELL_0225,1
CELL_1054,0
CELL_0499,1
CELL_1057,0
CELL_0091,1
CELL_0649,0
CELL_0171,1
CELL_0779,0
CELL_0227,1
CELL_0670,0
CELL_0646,0
CELL_1150,0
CELL_0594,1
CELL_0940,0
CELL_0024,1
CELL_0677,0
CELL_1088,0
CELL_0548,1
CELL_1018,0
CELL_0052,1
CELL_0026,1
CELL_0299,1
CELL_1097,0
CELL_0487,1
CELL_1017,0
CELL_0075,1
CELL_0984,0
CELL_0007,1
CELL_0947,0
CELL_0085,1
CELL_0725,0
CELL_1003,0
CELL_0337,1
CELL_1151,0
CELL_0106,1
CELL_0285,1
CELL_0536,1
CELL_1052,0
CELL_0169,1
CELL_0048,1
CELL_0327,1
CELL_0862,0
CELL_0303,1
CELL_0584,1
CELL_0551,1
CELL_1191,0
CELL_0100,1
CELL_0774,0
CELL_1027,0
CELL_0236,1
CELL_0775,0
CELL_0576,1
CELL_0596,1
CELL_0885,0
CELL_0391,1
CELL_0013,1
CELL_0791,0
CELL_1170,0
CELL_0418,1
CELL_0054,1
CELL_0475,1
CELL_1043,0
CELL_0776,0
CELL_0356,1
CELL_0798,0
CELL_0403,1
CELL_0866,0
CELL_0881,0
CELL_0704,0
CELL_0736,0
CELL_1188,0
CELL_1149,0
CELL_0284,1
CELL_0913,0
CELL_0099,1
CELL_0214,1
CELL_0020,1
CELL_0462,1
CELL_0602,0
CELL_0139,1
CELL_1109,0
CELL_0574,1
CELL_0200,1
CELL_0081,1
CELL_0363,1
CELL_0750,0
CELL_0604,0
CELL_0878,0
CELL_0716,0
CELL_0452,1
CELL_0606,0
CELL_0605,0
CELL_0723,0
CELL_0250,1
CELL_0343,1
CELL_0722,0
CELL_0690,0
CELL_0269,1
CELL_0383,1
CELL_0907,0
CELL_0842,0
CELL_0474,1
CELL_0705,0
CELL_0658,0
CELL_0635,0
CELL_1013,0
CELL_0364,1
CELL_0582,1
CELL_0656,0
CELL_0180,1
CELL_0685,0
CELL_0955,0
CELL_1055,0
CELL_0109,1
CELL_0614,0
CELL_0767,0
CELL_0135,1
CELL_0864,0
CELL_0453,1
CELL_0259,1
CELL_1104,0
CELL_0021,1
CELL_0191,1
CELL_1118,0
CELL_0188,1
CELL_1066,0
CELL_1146,0
CELL_0153,1
CELL_0942,0
CELL_0671,0
CELL_0405,1
CELL_0464,1
CELL_0908,0
CELL_0098,1
CELL_1102,0
CELL_0504,1
CELL_0182,1
CELL_1032,0
CELL_1049,0
CELL_0900,0
